Date,Clicks,Impressions,CTR,Position
2026-04-01,3,264,1.14%,19.9
2026-04-02,2,340,0.59%,21.8
2026-04-03,1,259,0.39%,17.2
2026-04-04,2,224,0.89%,26.5
2026-04-05,1,265,0.38%,25.1
2026-04-06,1,295,0.34%,23.1
2026-04-07,1,271,0.37%,25.2
2026-04-08,1,339,0.29%,26.3
2026-04-09,4,523,0.76%,29.8
2026-04-10,0,360,0%,30
2026-04-11,3,303,0.99%,27.9
2026-04-12,0,330,0%,30.4
2026-04-13,3,411,0.73%,28
2026-04-14,5,351,1.42%,27
2026-04-15,5,347,1.44%,25.7
2026-04-16,1,379,0.26%,30.2
2026-04-17,2,317,0.63%,30.3
2026-04-18,4,274,1.46%,36.1
2026-04-19,2,289,0.69%,34.9
2026-04-20,3,430,0.7%,26
2026-04-21,2,412,0.49%,25.8
2026-04-22,1,423,0.24%,23.5
2026-04-23,4,463,0.86%,27.5
2026-04-24,1,360,0.28%,26.8
2026-04-25,1,310,0.32%,29.9
2026-04-26,1,293,0.34%,32.5
2026-04-27,3,385,0.78%,29.4
2026-04-28,1,250,0.4%,18.8
2026-04-29,4,277,1.44%,15.3
2026-04-30,2,224,0.89%,19.8
2026-05-01,0,242,0%,15.4
