Country,Clicks,Impressions,CTR,Position
United Kingdom,35,8429,0.42%,28.67
India,11,170,6.47%,7.48
United States,4,765,0.52%,21.5
France,3,48,6.25%,9.67
Pakistan,2,25,8%,11.24
Nigeria,2,16,12.5%,5.75
Bangladesh,1,29,3.45%,12.34
Spain,1,25,4%,7.2
Philippines,1,20,5%,9.95
Portugal,1,15,6.67%,3.13
Sweden,1,13,7.69%,7.85
Morocco,1,8,12.5%,17.5
Cyprus,1,6,16.67%,3.67
Germany,0,83,0%,9.55
Italy,0,48,0%,15.38
Ireland,0,48,0%,17.15
Canada,0,37,0%,20.62
Israel,0,35,0%,7.37
Netherlands,0,29,0%,11.24
Indonesia,0,26,0%,12.92
Poland,0,24,0%,14.17
South Korea,0,19,0%,13
Turkey,0,17,0%,5.65
Vietnam,0,17,0%,10.47
Australia,0,16,0%,16.25
Switzerland,0,16,0%,17.69
Brazil,0,15,0%,15.33
Japan,0,13,0%,17.23
Malaysia,0,10,0%,6.5
Belgium,0,10,0%,12
Singapore,0,10,0%,12.3
Romania,0,9,0%,6.33
Czechia,0,9,0%,14
Mexico,0,8,0%,27.25
Greece,0,7,0%,5.43
Norway,0,7,0%,10
United Arab Emirates,0,7,0%,10.86
South Africa,0,7,0%,18.14
Slovakia,0,6,0%,4.17
China,0,5,0%,10.4
Finland,0,5,0%,10.8
Saudi Arabia,0,5,0%,24
New Zealand,0,5,0%,26.6
Hong Kong,0,4,0%,6.25
Thailand,0,4,0%,6.5
Denmark,0,4,0%,8.5
Russia,0,4,0%,11
Egypt,0,4,0%,16.5
Hungary,0,4,0%,30.5
Jordan,0,3,0%,3.33
Croatia,0,3,0%,4
Lithuania,0,3,0%,5.67
Austria,0,3,0%,6.67
Kenya,0,3,0%,8.67
Isle of Man,0,2,0%,2
Peru,0,2,0%,2
Algeria,0,2,0%,3
Luxembourg,0,2,0%,3.5
Iraq,0,2,0%,4.5
Latvia,0,2,0%,5
Malta,0,2,0%,5
Sri Lanka,0,2,0%,8
Colombia,0,2,0%,10
Nepal,0,2,0%,10
Ecuador,0,2,0%,11
Estonia,0,2,0%,12
Taiwan,0,2,0%,20.5
Bulgaria,0,2,0%,22
Argentina,0,1,0%,1
Bolivia,0,1,0%,1
Jersey,0,1,0%,1
Paraguay,0,1,0%,1
Tanzania,0,1,0%,1
Ukraine,0,1,0%,1
Afghanistan,0,1,0%,2
Moldova,0,1,0%,5
St. Kitts & Nevis,0,1,0%,6
Mozambique,0,1,0%,7
Honduras,0,1,0%,8
Sudan,0,1,0%,8
Bermuda,0,1,0%,9
Armenia,0,1,0%,11
Lebanon,0,1,0%,11
Slovenia,0,1,0%,11
Uruguay,0,1,0%,11
Kazakhstan,0,1,0%,13
Venezuela,0,1,0%,36
Azerbaijan,0,1,0%,45
Jamaica,0,1,0%,50
